,Close,Date,High,Low,Open,Trades,Volume
422,3.2187,2016-03-24,3.23,3.1958,3.226,184,3741.65378709
423,3.2075,2016-03-25,3.2299,3.1885,3.2152,246,10814.6504124
424,3.2372,2016-03-26,3.2389,3.2101,3.2211,67,1482.97828811
425,3.296,2016-03-27,3.3314,3.206,3.2323,660,20965.0149739
426,3.27,2016-03-28,3.3029,3.26,3.3,315,5189.46101796
427,3.228,2016-03-29,3.279,3.1787,3.2672,485,8740.5881265
428,3.2096,2016-03-30,3.2375,3.16,3.2187,486,13635.969158
429,3.254,2016-03-31,3.2635,3.2162,3.2282,520,6519.56596359
430,3.2416,2016-04-01,3.2572,3.219,3.254,322,5680.89992305
431,3.2582,2016-04-02,3.2897,3.2417,3.2417,391,1554.86735381
432,3.2443,2016-04-03,3.2793,3.2384,3.273,106,1753.30089873
433,3.245,2016-04-04,3.27,3.201,3.2604,369,7258.0867873
434,3.2687,2016-04-05,3.276,3.2251,3.2251,40,1328.13887943
435,3.2467,2016-04-06,3.2737,3.245,3.2551,34,1725.42645981
436,3.2305,2016-04-07,3.252,3.225,3.2452,132,3134.48312611
437,3.2324,2016-04-08,3.263,3.21,3.2354,209,1864.27163248
438,3.2302,2016-04-09,3.2333,3.2,3.212,91,1984.10878682
439,3.233,2016-04-10,3.251,3.2098,3.2271,171,1792.77199551
440,3.234,2016-04-11,3.2687,3.2209,3.243,78,1901.73476765
441,3.2625,2016-04-12,3.3,3.2464,3.249,340,5291.88079692
442,3.2693,2016-04-13,3.2956,3.2479,3.2701,217,2249.64630745
443,3.26,2016-04-14,3.2785,3.2447,3.2541,278,3035.1509728
444,3.2952,2016-04-15,3.324,3.2536,3.26,410,4131.8299727
445,3.3104,2016-04-16,3.3196,3.29,3.3083,85,4417.47985212
446,3.2849,2016-04-17,3.3046,3.2586,3.2907,162,1702.49914279
447,3.2511,2016-04-18,3.2849,3.2511,3.2849,19,2025.86814319
448,3.3199,2016-04-19,3.32,3.2401,3.26,197,5125.30957339
449,3.3,2016-04-20,3.327,3.2634,3.305,667,15866.4387717
450,3.375,2016-04-21,3.3978,3.3,3.3007,544,18512.5975798
451,3.356,2016-04-22,3.4,3.3219,3.378,426,14190.6837081
452,3.3698,2016-04-23,3.3899,3.3217,3.356,410,16772.1981108
453,3.6711,2016-04-24,3.7,3.3678,3.3698,1829,56269.0749758
454,3.83,2016-04-25,3.9278,3.5737,3.6806,2640,100577.417834
455,4.0837,2016-04-26,4.1591,3.8128,3.835,3686,191785.338496
456,3.8931,2016-04-27,4.2948,3.823,4.0791,3956,273607.336823
457,3.8298,2016-04-28,3.955,3.701,3.868,2165,114960.979932
458,3.8207,2016-04-29,3.88,3.7222,3.8102,889,47710.2814843
459,3.67,2016-04-30,3.8524,3.647,3.8207,1174,61296.7056218
460,3.6969,2016-05-01,3.749,3.647,3.67,540,24361.2918486
461,3.6743,2016-05-02,3.8106,3.6198,3.71,1320,54011.9060935
462,3.734,2016-05-03,3.7707,3.615,3.6743,726,37902.844475
463,3.7333,2016-05-04,3.7799,3.7022,3.7349,149,4263.13754203
464,3.7203,2016-05-05,3.7893,3.72,3.7333,295,9545.54842328
465,3.8452,2016-05-06,3.87,3.7031,3.7227,956,17834.06771
466,3.98,2016-05-07,4.033,3.8451,3.8684,643,44449.0296967
467,3.966,2016-05-08,3.988,3.9055,3.9801,422,12698.6589369
468,4.08,2016-05-09,4.1339,3.9125,3.9501,792,27131.5645363
469,3.8398,2016-05-10,4.18,3.7826,4.08,1205,65432.1696222
470,3.8807,2016-05-11,3.9397,3.829,3.8428,341,18655.3150961
471,3.859,2016-05-12,3.899,3.7851,3.8792,297,16024.5254081
472,3.9351,2016-05-13,3.9725,3.8353,3.8577,392,17081.6599935
